County,Total,Male,Female,Intersex,Households,Average_HouseHold_Size,LandArea,Population Density
BARINGO,"666,763","336,322","330,428",13,"142,518",5,"10,976",61
BOMET,"875,689","434,287","441,379",23,"187,641",5,"2,531",346
BUNGOMA,"1,670,570","812,146","858,389",35,"358,796",5,"3,024",552
BUSIA,"893,681","426,252","467,401",28,"198,152",5,"1,696",527
ELGEYO-MARAKWET,"454,480","227,317","227,151",12,"99,861",5,"3,032",150
EMBU,"608,599","304,208","304,367",24,"182,743",3,"2,821",216
GARISSA,"841,353","458,975","382,344",34,"141,394",6,"44,736",19
HOMA BAY,"1,131,950","539,560","592,367",23,"262,036",4,"3,153",359
ISIOLO,"268,002","139,510","128,483",9,"58,072",5,"25,350",11
KAJIADO,"1,117,840","557,098","560,704",38,"316,179",4,"21,871",51
KAKAMEGA,"1,867,579","897,133","970,406",40,"433,207",4,"3,020",618
KERICHO,"901,777","450,751","451,008",28,"206,036",4,"2,436",370
KIAMBU,"2,417,735","1,187,146","1,230,454",135,"795,241",3,"2,539",952
KILIFI,"1,453,787","704,089","749,673",25,"298,472",5,"12,540",116
KIRINYAGA,"610,411","302,011","308,369",31,"204,188",3,"1,478",413
KISII,"1,266,860","605,784","661,038",38,"308,054",4,"1,323",958
KISUMU,"1,155,574","560,942","594,609",23,"300,745",4,"2,085",554
KITUI,"1,136,187","549,003","587,151",33,"262,942",4,"30,430",37
KWALE,"866,820","425,121","441,681",18,"173,176",5,"8,267",105
LAIKIPIA,"518,580","259,440","259,102",18,"149,271",3,"9,532",54
LAMU,"143,920","76,103","67,813",4,"37,963",4,"6,253",23
MACHAKOS,"1,421,932","710,707","711,191",34,"402,466",4,"6,043",235
MAKUENI,"987,653","489,691","497,942",20,"244,669",4,"8,170",121
MANDERA,"867,457","434,976","432,444",37,"125,763",7,"25,940",33
MARSABIT,"459,785","243,548","216,219",18,"77,495",6,"70,944",6
MERU,"1,545,714","767,698","777,975",41,"426,360",4,"7,006",221
MIGORI,"1,116,436","536,187","580,214",35,"240,168",5,"2,614",427
MOMBASA,"1,208,333","610,257","598,046",30,"378,422",3,220,"5,495"
MURANG'A,"1,056,640","523,940","532,669",31,"318,105",3,"2,524",419
NAIROBI,"4,397,073","2,192,452","2,204,376",245,"1,506,888",3,704,"6,247"
NAKURU,"2,162,202","1,077,272","1,084,835",95,"616,046",4,"7,462",290
NANDI,"885,711","441,259","444,430",22,"199,426",4,"2,856",310
NAROK,"1,157,873","579,042","578,805",26,"241,125",5,"17,950",65
NYAMIRA,"605,576","290,907","314,656",13,"150,669",4,897,675
NYANDARUA,"638,289","315,022","323,247",20,"179,686",4,"3,286",194
NYERI,"759,164","374,288","384,845",31,"248,050",3,"3,325",228
SAMBURU,"310,327","156,774","153,546",7,"65,910",5,"21,065",15
SIAYA,"993,183","471,669","521,496",18,"250,698",4,"2,530",393
TAITA TAVETA,"340,671","173,337","167,327",7,"96,429",4,"17,152",20
TANA RIVER,"315,943","158,550","157,391",2,"68,242",5,"37,951",8
THARAKA-NITHI,"393,177","193,764","199,406",7,"109,860",4,"2,564",153
TRANS NZOIA,"990,341","489,107","501,206",28,"223,808",4,"2,495",397
TURKANA,"926,976","478,087","448,868",21,"164,519",6,"68,233",14
UASIN GISHU,"1,163,186","580,269","582,889",28,"304,943",4,"3,392",343
VIHIGA,"590,013","283,678","306,323",12,"143,365",4,564,"1,047"
WAJIR,"781,263","415,374","365,840",49,"127,932",6,"56,773",14
WEST POKOT,"621,241","307,013","314,213",15,"116,182",5,"9,123",68
